100	3000
74	21	-24
58	23	37
60	69	49
25	43	-36
62	21	40
18	97	45
13	79	7
16	20	-38
2	22	-32
87	91	-18
70	39	-40
89	39	-18
9	12	-27
91	14	-38
54	76	48
7	98	-19
23	92	-20
29	14	-17
62	84	18
54	58	22
100	46	-10
39	38	-18
54	58	-18
96	32	-4
40	79	-24
1	66	23
95	37	39
53	26	6
10	94	-3
88	45	21
52	56	-32
97	32	-39
60	32	46
55	32	15
42	92	-37
94	41	-9
60	19	37
4	71	50
26	25	23
82	85	4
99	3	-30
20	31	-38
81	98	-1
11	67	41
29	92	-41
92	35	-3
39	26	-30
58	95	-49
87	98	-37
34	8	-17
43	75	0
77	26	23
1	22	-47
89	82	-21
79	95	23
10	14	35
18	95	43
11	35	-5
55	21	-46
13	71	-16
86	99	-31
62	35	44
46	30	-40
59	43	4
89	35	-41
33	39	4
33	78	40
28	3	32
72	12	40
42	30	33
89	65	49
13	45	-13
90	80	36
13	39	-45
54	64	-18
86	22	48
5	32	-31
99	32	-7
70	21	-16
76	8	27
87	17	-33
23	69	-20
71	66	8
57	19	26
57	65	7
31	83	14
74	55	40
7	91	-22
90	62	-38
27	83	38
74	22	-17
9	97	-34
39	56	-10
67	5	-40
11	19	-45
16	73	-45
100	78	11
64	19	-22
60	41	-15
16	48	-29
86	69	24
78	1	36
87	70	-8
18	32	35
46	24	44
96	56	-8
96	44	-43
99	26	26
62	55	-7
56	44	48
58	65	-34
50	19	-31
20	25	-24
73	95	12
93	78	21
53	25	-30
54	68	42
9	39	0
65	69	6
62	70	-12
81	61	-17
24	22	39
62	37	0
6	70	-34
85	38	-27
2	28	48
86	47	-30
40	5	0
3	38	47
93	64	26
2	36	47
42	81	-41
4	100	-19
90	95	3
33	93	12
58	49	8
77	29	-45
86	15	20
52	39	23
48	95	-48
70	76	-13
54	96	14
87	22	-23
78	47	44
99	85	-48
51	84	14
29	32	10
13	27	43
13	40	-21
74	73	29
17	69	-10
9	79	-41
49	85	2
4	18	-9
43	85	-36
46	57	41
4	92	-9
49	5	-29
19	61	-11
94	38	-49
54	38	34
60	96	-23
84	78	-23
20	22	29
57	49	1
95	83	25
92	21	40
87	52	28
14	39	-19
24	15	-31
60	99	22
31	30	-27
12	28	41
18	83	-48
4	26	45
13	50	-32
5	35	26
62	92	17
74	25	3
50	30	14
13	74	-30
7	10	15
30	80	42
2	56	13
51	24	-33
84	26	-41
15	43	22
40	61	7
16	58	-12
9	84	10
61	45	-35
9	14	-13
76	80	-26
9	76	10
14	32	0
59	8	-50
26	88	30
48	83	50
99	94	0
36	28	-10
42	40	-6
40	41	-49
74	63	-23
4	24	-47
23	56	46
53	40	-10
35	32	-28
3	45	35
16	76	-10
77	6	-50
30	49	-4
68	82	31
33	10	23
18	31	-37
17	97	-8
77	11	-19
7	36	-9
20	88	10
53	66	10
60	75	-42
56	41	30
52	3	27
50	94	18
33	58	-39
100	12	30
55	97	-15
67	21	41
4	75	9
73	66	-36
62	47	-13
11	26	42
49	75	39
79	98	34
61	30	0
65	85	-14
90	47	-3
77	94	-19
77	66	-26
22	45	29
21	66	8
100	20	0
47	38	-24
68	20	-5
89	92	-45
60	70	-37
11	96	-43
36	66	1
77	71	29
17	30	-42
79	26	-22
87	97	2
10	76	-49
24	92	-46
14	80	-42
50	69	-21
49	45	13
87	27	29
14	78	45
86	73	-36
10	6	49
50	43	-1
78	61	-19
63	49	5
29	79	37
78	98	-49
91	39	-22
15	95	11
58	82	10
7	8	-45
95	38	1
4	22	19
64	37	-39
8	83	-41
71	44	-33
16	20	-34
7	5	-14
72	94	-11
99	27	-38
60	98	41
100	90	28
24	96	-27
12	82	38
42	94	-8
91	25	-34
24	40	18
96	63	-10
58	5	29
61	45	-42
77	3	20
87	100	-49
17	69	30
11	98	-13
39	37	-20
89	95	-7
9	41	-11
25	83	38
14	34	30
51	64	-20
18	70	24
48	40	48
56	49	49
11	95	-12
72	71	5
7	97	-27
57	65	-43
10	19	-6
68	44	42
9	94	-48
18	6	10
79	98	37
84	66	-18
89	96	36
18	19	8
98	21	-25
13	90	10
52	50	-7
59	75	-46
90	50	-37
62	29	7
40	1	-15
9	38	-17
61	83	3
51	69	-17
24	56	-31
97	69	49
11	67	21
7	8	1
74	63	-37
55	21	-3
100	99	-14
60	70	19
77	68	6
41	75	42
39	3	48
24	84	-39
100	74	37
15	19	-8
73	14	-41
13	64	9
90	29	-28
51	62	-44
29	23	-44
18	94	17
32	38	9
51	76	27
60	6	-1
62	84	-49
100	92	-12
72	12	-28
63	45	-1
31	95	-22
46	93	5
56	61	-43
90	19	-37
90	26	-44
13	45	35
99	5	-35
71	63	-26
4	75	5
99	45	12
59	65	-49
56	41	12
46	71	5
